Strengths and Weaknesses of Air Gestures,Bucket2,Count,Quote1,Quote2,Quote3,Quote4,Quote5,Quote6,Quote7,Quote8,Quote9,Quote10,Quote11
Value of air gestures,Coarse interactions,8,"[move toolbar] if like like I wanted that little tiny thing on the screen as opposed to like the large window like I, I don't know if intuitive for or yeah, like intuitively for me like I I like, my mental model is. [...] Like if it's something big like I get like gestures, make a lot of sense to me, but if it's something really small on screen like I don't know like like I I would think like oh like well, I'd actually like how much work will it take for me to actually have it recognize that like I want that thing as opposed to something else on the screen?","[grab and release photo] I I don't know if this is like how this was designed, but the way I think about it is like let's say I wanted to grab that particular image. How do I know that like I'm grabbing that image instead of like? Let's say that image is in a browser, I'm not taking that entire browser and moving it over. I would probably like physically click on the image on the phone. Actually make contact like touch the image and then probably grab it like grab it.",,"[move app] So when do you move the mouse between screens? It's because of the change of screen resolution because of the the slight imperfection, the different in sizes, the slight imperfections within the location. It creates a discontinuity, right? If you're just using a gesture, and if if of course if the image that transition is smooth enough. [...] Its way cooler I. I don't know cooler is is not a great word but I think it would be. I would prefer to do that.","[gesture shortcuts] So in kind of the in the in the use case you have, it's very ideal. There's three things, it's really fast. You could just do that. But if you were like a sloppy computer as I am [with more app opened to choose from], I can imagine it potentially being slower.","[move toolbar] I think I think that works right. I think that works, it's it. Just probably may need to be precise enough, right? So there may be, you know, some lag time, right? For people to like really get that correct so that the sensor can actually sense the hand movements. Like if it's a bigger screen you know then it's easier, right? But if it's a smaller, if you're working on a 15 inch screen that most of us are right now, like you know, it could be that you'll need to be very specific so there could be a little bit of a time like right in achieving or accomplishing that activity.",,"[gesture modifier] I just think it's  [pairing gesture with additional modality] like more control, especially like if you're using a component of an uh of a larger application. Yeah, I think that like the role of like having like, the key is definitely like. Just like applying like more like control and precision. I think like having a like being able to call out like you know, like mute, like if I'm for instance like grabbing grabbing something like part of an application run, grabbing part of application and I want to say like move to tablet one you know then like that would be then I could just be like.","[move app] UM, is that you know how, when you're going to like, select something or you're like hovering your mouse. There's a lot of different elements, right? It's like you're either selecting text or you're clicking on a link, or you're grabbing the window so there's a lot of different elements that you could possibly grab, and so it makes me a little bit anxious to say, well, how do I know I'm grabbing the right element? What do I do if I want to just grab some text or an image from inside of the window to move over?","[split app] [The gesture] does make sense, but I just think I'm like I think if I'm used to grabbing things like this and then all of a sudden like oh I'm trying to manipulate a smaller like it's it's. It's essentially like, oh you're making me put multiple different gestures together in in one right? So I it's like I don't know what that would be. It would almost be like I would kind of like a voice and gesture like.",
Value of air gestures,Coarse interactions,,"[input redirection] Uh, because like the menu kind of involves, like pointing at a distinct object, but if there's some way to say like this plus something, because like I, I don't. I don't know if I necessarily need the precision of saying like I need that thing, or at least like if if it's constrained to like one or two options, then then I can get away with like a low precision gesture as opposed to something that requires me to use a little bit more dexterity to say like that as opposed to like I'm I'm I'm signaling to move something and.",,,,"[gesture shortcuts] Uh, yeah. But just if you're copy pasting lots of things, it's very ungraceful in any platform, [similar to] touch on the phone.",,,,,,
Value of air gestures,Coarse interactions,,,,,,They seem very suited to immediate and somewhat coarse actions.,,,,,,
Value of air gestures,Coarse interactions,,,,,,"Uh, I I said yes you can pick it up and pick up the toolbar and but actually doing that is kind of hard because you click on the wrong window really off if you're just trying to get the window Chrome, I will often try and grab the window Chrome to do something and I've hit the wrong one and so now something else is in the forefront.",,,,,,
Value of air gestures,Efficiency,6,"[audio redirection] The current UX implementation is is hum is time consuming. Uhm and and there's also what I call a kind of like a high precision, high dexterity thing. Where like I have to. [...] Two pairs of headphones so this or like more of like a wireless headset. I have to go through the UX and kind of like click on a few things and kind of make it work and kind of hope that it actually does what I wanted to do.","[audio redirection] And then like move it from one thing to another that is way faster for me to do than trying to click around a bunch. And I think the other reason I was talking about like why all those other gestures or things I didn't like as much is because I was like, well, I know how to do that quickly on the keyboard anyway, so I don't have to take my hands away from the keyboard, but if I have to figure this out for like 10 minutes, which sometimes I've had to do where I'm like, why are my speakers working? Why isn't this paired blah blah blah words this thing in the UI? Then I have to search. It's just way easier to do this.",,,"[gesture shortcuts] So in kind of the in the in the use case you have, it's very ideal. There's three things, it's really fast. You could just do that. But if you were like a sloppy computer as I am [with more app opened to choose from], I can imagine it potentially being slower.","[split app]Uhm, it didn't sound compelling to me when we were segmenting it, but then, once the segments are identified, the the movement of of that particular selection of that segment and movement was seamless.",[grab and release photo] I'd be kind of disappointed if this [the gesture and activity] did not happen. We need this easier way to get things from your phone on a computer cause I do that all the time.,,"[extend desktop] And it makes some very common tasks really simple, and I like the idea of having my being able to expand my environment in my ecosystem, like that it just feels very intuitive and when I see it, I feel like it should be. It should be existing already.",,
Value of air gestures,Efficiency,,,,,,"[gesture shortcuts] In the general sense, I always have like 60 things open on my computer, so I can imagine doing either Alt tab or the key or the gesture and having like a big window. And I think if you're doing the keyboard shortcut, it's actually really fast to just go do do do, do do do. It's like OK, I've got a bunch of things and the one I want is 8 over so I can hit the key 8 times really fast. But if I have a screen and I have to look at it and then like ho oh there it isn't hover. I can see that actually being quite a bit slower.",,[audio redirection] I don’t have multiple source of audio. So it is less applicable to me. I have just the speakers going on all the time. It is probably useful to other people because I see them always struggling with audio all the time on meetings. ,,,,
Value of air gestures,Efficiency,,,,,,,,[split app] maybe when im in word and im doing a task in that toolbar view a lot and im tired of clicking and clicking into it. ,,,,
Value of air gestures,Usability*,6,,,,"[move app] Uh, another particular case is if I am not using my mouse but my touchpad. Dragging windows says it is not that super comfortable, so being able to use the gesture would be would be great, and I often use the touch pad. [...] There is this thing on Windows that if you lift your finger you just you lose the the graph on the object while on the mac you have like one second or something and they just still keep it? Which which I love because it's easier to do longer movements. [...] so yeah with this gesture you wouldn't need to worry about that because it's great.","[extend desktop] Sometimes I've got a URL [that I want to open on my computer] and it is hard to zoom the URL open on my phone to type it on my computer. if I could just like swipe it onto my computer, that would be great. That would save a lot of embarrassment and like awkward shifting things.","[audio redirection] Keyboard free experience? Yes, this would be a 6.5 for me. I loved it. I mean yeah I would do that too.","[extend desktop] I already use my phone with my computer and if I huh did not have to have windows and other apps on my computer, I would prefer use my phone and also, if I could use my mouse or my keyboard with my phone then that would make writing messages faster or take notes. keep up with things. [...] I like having a lot of things [device] available to me.","[extend desktop] I wouldn't need to then buy a second monitor, so I think like yeah, [...] if it was multiple computers and not maybe a desktop to phone situation.","[grab and release photo] Ah yeah, I would give that a 7 as well because right now that experience is so clunky and like do I text it to myself? Do I email it to myself?",,
Value of air gestures,Usability*,,,,,,"[phone navigation] Figma has it and mural has it but you have to like click a button and I always forget to click the button and then click back out of it. So if I actually especially if it was an especially if having it on my phone allowed me to not put myself in that state where now I can't edit like if I could still edit and re moving around that would actually be really [...] Yeah, and I do a lot of things where there's a lot of things on the figma, so I feel like I'm constantly moving around, yeah?",,[grab and release photo] there is a solution but I hate the solution. Because this is a process. If I need to do it I will do it but if I don’t then I wont. But then it comes back to bite you later. So this [the gesture] is more problem solving for me.,"[grab and release photo] I definitely think that this feature is very useful. I mean there there are definitely times when I've you know wanted to put something in my PowerPoint. I'm like I wish I can grab it like don't have to save it, you know, and I could just grab it from one like from a Bing search and just like drop it into like a PowerPoint. But yeah, I think I definitely think that it would be a helpful useful feature.",,,
Value of air gestures,Immediacy /shortcut*,4,,,,,"[audio redirection] But if there was a gestural way to say. Query quickly stop a sound, I think like gestural mute. There are lots of cases where gestural mute would be really handy.","I think I think we included one where you know the ability for for us to pause or play. You know, when you're in an active this thing, so that could apply if you look at like you know from a work perspective, right? Like if we have to go to a teams meeting, you know just just able to point to the like, highlight that join join button and then you know just just join or like mute ourselves like you know some kind of.","I would use this in a team call [..] and if I need something really fast, I could see me getting used to do these gestures and want to do it when I have my camera on. ",,,"It really be able to take advantage of something like this, and I think just like, yeah, the the the quickness of it and. And yeah, like I started to think of like things that like fully rose to the top for me. ",
